Bib,Catalog,Normalized,Name,Different?,IRI,LC ID
4720623,https://search.library.yale.edu/catalog/4720623,rufus of ephesus de appellationibus partium corporis humani,"Rufus, of Ephesus. De appellationibus partium corporis humani.",,http://id.loc.gov/authorities/names/n83122546,http://id.loc.gov/authorities/names/n83122546
4731460,https://search.library.yale.edu/catalog/4731460,stephanus of athens,"Stephanus, of Athens.",,http://id.loc.gov/authorities/names/n85183153,http://id.loc.gov/authorities/names/n85183153
4769990,https://search.library.yale.edu/catalog/4769990,elder thomas l thomas lindsay,"Elder, Thomas L. (Thomas Lindsay)",,http://id.loc.gov/authorities/names/no2001062595,http://id.loc.gov/authorities/names/no2001062595
4772826,https://search.library.yale.edu/catalog/4772826,watson william rev,"Watson, William, Rev.",,http://id.loc.gov/authorities/names/nb2007010538,http://id.loc.gov/authorities/names/nb2007010538
4777367,https://search.library.yale.edu/catalog/4777367,brimont r de renee de,"Brimont, R. de (Renée de)",,http://id.loc.gov/authorities/names/nr97044758,http://id.loc.gov/authorities/names/nr97044758
4881281,https://search.library.yale.edu/catalog/4881281,stephanus of alexandria,"Stephanus, of Alexandria.",,http://id.loc.gov/authorities/names/n84179562,http://id.loc.gov/authorities/names/n84179562
6123375,https://search.library.yale.edu/catalog/6123375,kosakoff r reuven,"Kosakoff, R. (Reuven)",,http://id.loc.gov/authorities/names/n93038320,http://id.loc.gov/authorities/names/n93038320
6278603,https://search.library.yale.edu/catalog/6278603,mcbride j h john h,"McBride, J. H. (John H.)",,http://id.loc.gov/authorities/names/no00078729,http://id.loc.gov/authorities/names/no00078729
6349152,https://search.library.yale.edu/catalog/6349152,inchaustegui j marino joaquin marino,"Incháustegui, J. Marino (Joaquín Marino)",,http://id.loc.gov/authorities/names/no98130685,http://id.loc.gov/authorities/names/no98130685
6353432,https://search.library.yale.edu/catalog/6353432,saunders cicely m dame,"Saunders, Cicely M., Dame.",,http://id.loc.gov/authorities/names/n81096865,http://id.loc.gov/authorities/names/n81096865
6579368,https://search.library.yale.edu/catalog/6579368,dell w s william stanley,"Dell, W. S. (William Stanley)",,http://id.loc.gov/authorities/names/nb2002066002,http://id.loc.gov/authorities/names/nb2002066002
