Select,XPath,Examples
,/rdf:RDF/bf:Work/bf:title/bf:ParallelTitle/bf:partName,"Fakulteit lettere en wysbegeerte, Fakulteit ekonomie en administrasie, Fakulteit teologie
Colombie-Britannique
Social sciences"
,/rdf:RDF/bf:Work/bf:title/bf:ParallelTitle/bf:date,"1971-1978
1968-
1972-"
,/rdf:RDF/bf:Work/bf:title/bf:ParallelTitle/bf:partNumber,"Francis 531
8
Dai 8 bumon"
,/rdf:RDF/bf:Work/bf:title/bf:ParallelTitle/bf:subtitle,"five songs on the text of Langston Hughes : voice and piano ...
gencho oyobi shōroku
architectural monuments"
,/rdf:RDF/bf:Work/bf:title/bf:ParallelTitle/bf:note/bf:Note/rdfs:label,"Container and cassette label title
On cover
In-house title"
,/rdf:RDF/bf:Work/bf:title/bf:CollectiveTitle/bf:mainTitle,"Selected works
Works
Plays"
,/rdf:RDF/bf:Work/bflc:relationship/bflc:Relationship/bflc:relation/bflc:Relation/rdfs:label,Has Series
,/rdf:RDF/bf:Work/bflc:relationship/bflc:Relationship/bf:relatedTo/bf:Series/rdf:type,http://id.loc.gov/ontologies/bflc/Uncontrolled
,/rdf:RDF/bf:Work/bflc:relationship/bflc:Relationship/bf:relatedTo/bf:Series/bf:status/bf:Status/rdfs:label,transcribed
,/rdf:RDF/bf:Work/bflc:relationship/bflc:Relationship/bf:relatedTo/bf:Series/bf:title/bf:Title/bf:mainTitle,"Monographs of the Society for Research in Child Development ; v. 41, no. 1, serial no. 164
A Wiley medical publication
A Studio book"
,/rdf:RDF/bf:Work/bflc:relationship/bflc:Relationship/bf:relatedTo/bf:Series/bf:title/bf:ParallelTitle/bf:mainTitle,"Special annotated bibliography / Library
anno I (dic. 1985)
Dissertation series / Graduate School of Economics, Munich, West Germany"
,/rdf:RDF/bf:Work/bflc:relationship/bflc:Relationship/bf:relatedTo/bf:Series/bf:identifiedBy/bf:Issn/rdf:value,"0037-976X
0069-2883 ;
0208-6336 ;"
,/rdf:RDF/bf:Work/bflc:relationship/bflc:Relationship/bf:relatedTo/bf:Hub/rdf:type,http://id.loc.gov/ontologies/bibframe/Series
,/rdf:RDF/bf:Work/bflc:relationship/bflc:Relationship/bf:relatedTo/bf:Hub/bf:title/bf:Title/bf:mainTitle,"Monographs of the Society for Research in Child Development
Wiley medical publication
Text and performance"
,/rdf:RDF/bf:Work/bflc:relationship/bflc:Relationship/bf:relatedTo/bf:Hub/bf:title/bf:Title/bf:partNumber,"Sez. II
B.
Série A."
,/rdf:RDF/bf:Work/bflc:relationship/bflc:Relationship/bf:relatedTo/bf:Hub/bf:title/bf:Title/bf:partName,"Archivi ecclesiastici
Diocesi clodiense
Stockholm Slavic studies"
,/rdf:RDF/bf:Work/bflc:relationship/bflc:Relationship/bf:relatedTo/bf:Hub/bf:title/bf:Title/bflc:nonSortNum,"3
2"
,/rdf:RDF/bf:Work/bflc:relationship/bflc:Relationship/bf:relatedTo/bf:Hub/bflc:marcKey,"830 0$aMonographs of the Society for Research in Child Development ;$vv. 41, no. 1, serial no. 164.
830 0$aWiley medical publication.
440 0$aText and performance"
,/rdf:RDF/bf:Work/bflc:relationship/bflc:Relationship/bf:relatedTo/bf:Hub/bf:contribution/bf:Contribution/bf:agent/bf:Agent/rdf:type,http://id.loc.gov/ontologies/bibframe/Person
,/rdf:RDF/bf:Work/bflc:relationship/bflc:Relationship/bf:relatedTo/bf:Hub/bf:contribution/bf:Contribution/bf:agent/bf:Agent/bflc:marcKey,"8001 $aPeters, Elizabeth,$d1942-$tExchange bibliography ;$v1111.
8001 $6880-05$aNishioka, Toranosuke,$d1895-1970.$tWorks.$f1982 ;$vdai 1-2kan.
8001 $6880-06$aUmehara, Takeshi,$d1925- 2019.$tShōtoku Taishi ;$v3"
,/rdf:RDF/bf:Work/bflc:relationship/bflc:Relationship/bf:relatedTo/bf:Hub/bf:contribution/bf:Contribution/bf:agent/bf:Agent/rdfs:label,"Peters, Elizabeth, 1942-
Nishioka, Toranosuke, 1895-1970
Umehara, Takeshi, 1925- 2019"
,/rdf:RDF/bf:Work/bflc:relationship/bflc:Relationship/bf:relatedTo/bf:Hub/bf:contribution/bf:Contribution/bf:role/bf:Role/rdfs:label,comp
,/rdf:RDF/bf:Work/bflc:relationship/bflc:Relationship/bf:relatedTo/bf:Hub/bf:originDate,"1982
1981"
,/rdf:RDF/bf:Work/bflc:relationship/bflc:Relationship/bf:relatedTo/bf:Hub/bf:identifiedBy/bf:Issn/rdf:value,"0336-7878
0316-0769
0283-8494"
,/rdf:RDF/bf:Work/bflc:relationship/bflc:Relationship/bf:relatedTo/bf:Hub/bf:identifiedBy/bf:Identifier/rdf:value,http://id.loc.gov/authorities/names/n90713085
,/rdf:RDF/bf:Work/bflc:relationship/bflc:Relationship/bf:relatedTo/bf:Hub/bf:language/bf:Language/rdfs:label,"English
French
Latin"
,/rdf:RDF/bf:Work/bflc:relationship/bflc:Relationship/bf:relatedTo/bf:Hub/bf:version,"Anchor Bible
Vocal scores
Bible de Jérusalem"
,/rdf:RDF/bf:Work/bflc:relationship/bflc:Relationship/bf:relatedTo/bf:Hub/bflc:appliesTo/bflc:AppliesTo/rdfs:label,"<1932/1933, zeszty 14>"
,/rdf:RDF/bf:Work/bflc:relationship/bflc:Relationship/bf:relatedTo/bf:Hub/bf:legalDate,"1926-
1898-
1949 or 50-"
,/rdf:RDF/bf:Work/bflc:relationship/bflc:Relationship/bf:relatedTo/bf:Hub/bf:musicMedium/bf:MusicMedium/rdfs:label,"violins (2), viola, cello (Doblinger)"
,/rdf:RDF/bf:Work/bflc:relationship/bflc:Relationship/bf:relatedTo/bflc:appliesTo/bflc:AppliesTo,"<2003>:
<2007->
Volumes 1-8:"
,/rdf:RDF/bf:Work/bflc:relationship/bflc:Relationship/bf:relatedTo/bf:classification/bf:ClassificationLcc/bf:assigner/bf:Agent,http://id.loc.gov/vocabulary/organizations/dlc
,/rdf:RDF/bf:Work/bflc:relationship/bflc:Relationship/bf:relatedTo/bf:classification/bf:ClassificationLcc/bf:classificationPortion,"(HD4973 .A28)
(HD8051 .A62)
(HC271.A218 subser.)"
,/rdf:RDF/bf:Work/bflc:relationship/bflc:Relationship/bf:seriesEnumeration,"v. 41, no. 1, serial no. 164.
no. 25
no. 19"
,/rdf:RDF/bf:Work/bf:subject/bf:Topic/rdf:type,http://www.loc.gov/mads/rdf/v1#ComplexSubject
,/rdf:RDF/bf:Work/bf:subject/bf:Topic/rdfs:label,"Children--Language
Grammar, Comparative and general--Syntax
Emigration and immigration--Periodicals"
,/rdf:RDF/bf:Work/bf:subject/bf:Topic/madsrdf:authoritativeLabel,"Children--Language
Grammar, Comparative and general--Syntax
Emigration and immigration--Periodicals"
,/rdf:RDF/bf:Work/bf:subject/bf:Topic/madsrdf:isMemberOfMADSScheme,http://id.loc.gov/authorities/subjects
,/rdf:RDF/bf:Work/bf:subject/bf:Topic/madsrdf:componentList/madsrdf:Topic/madsrdf:authoritativeLabel,"Children
Language
Grammar, Comparative and general"
,/rdf:RDF/bf:Work/bf:subject/bf:Topic/madsrdf:componentList/madsrdf:Topic/rdfs:label,"Translations into English
United States
Connecticut"
,/rdf:RDF/bf:Work/bf:subject/bf:Topic/madsrdf:componentList/madsrdf:GenreForm/madsrdf:authoritativeLabel,"Periodicals
Congresses"
,/rdf:RDF/bf:Work/bf:subject/bf:Topic/madsrdf:componentList/madsrdf:GenreForm/rdfs:label,"Correspondence
Biography"
,/rdf:RDF/bf:Work/bf:subject/bf:Topic/madsrdf:componentList/madsrdf:Geographic/madsrdf:authoritativeLabel,"Croatia
Europe
Connecticut"
,/rdf:RDF/bf:Work/bf:subject/bf:Topic/madsrdf:componentList/madsrdf:Geographic/rdfs:label,"United States
California"
,/rdf:RDF/bf:Work/bf:subject/bf:Topic/madsrdf:componentList/bf:Agent/rdf:type,"http://id.loc.gov/ontologies/bibframe/Person
http://www.loc.gov/mads/rdf/v1#PersonalName"
,/rdf:RDF/bf:Work/bf:subject/bf:Topic/madsrdf:componentList/bf:Agent/madsrdf:authoritativeLabel,"Shakespeare, William, 1564-1616
Phillips, R. (Richard), Sir, 1767-1840"
,/rdf:RDF/bf:Work/bf:subject/bf:Topic/madsrdf:componentList/bf:Agent/madsrdf:isMemberOfMADSScheme,http://id.loc.gov/authorities/subjects
,/rdf:RDF/bf:Work/bf:subject/bf:Topic/madsrdf:componentList/bf:Agent/bflc:marcKey,"60010$aShakespeare, William,$d1564-1616$xStage history$zEurope$y1950-
60010$aShakespeare, William,$d1564-1616$vFilm and video adaptations.
60010$aKeats, John,$d1795-1821$vBibliography."
,/rdf:RDF/bf:Work/bf:subject/bf:Topic/madsrdf:componentList/bf:Agent/rdfs:label,"Shakespeare, William, 1564-1616
Keats, John, 1795-1821"
,/rdf:RDF/bf:Work/bf:subject/bf:Topic/madsrdf:componentList/bf:Agent/bf:source/bf:Source/bf:code,"696 % pro
696 % sp13"
,/rdf:RDF/bf:Work/bf:subject/bf:Topic/madsrdf:componentList/bf:Agent/bflc:relationship/bflc:Relationship/bflc:relation/bflc:Relation/rdfs:label,"printer
Portraits; (Hersteller automatophonischer Musikinstrumente); (Abb. 130)
plaintiff in error"
,/rdf:RDF/bf:Work/bf:subject/bf:Topic/madsrdf:componentList/bf:Agent/bflc:relationship/bflc:Relationship/bf:relatedTo,"https://library.yale.edu/data/52225#Work
https://library.yale.edu/data/3979056#Work
https://library.yale.edu/data/9508692#Work"
,/rdf:RDF/bf:Work/bf:subject/bf:Topic/madsrdf:componentList/madsrdf:Temporal/madsrdf:authoritativeLabel,"1950-
Colonial period, ca. 1600-1775.
1810"
,/rdf:RDF/bf:Work/bf:subject/bf:Topic/madsrdf:componentList/madsrdf:Temporal/rdfs:label,"19th century
20th century"
,/rdf:RDF/bf:Work/bf:subject/bf:Topic/madsrdf:componentList/bf:Hub/rdf:type,"http://www.loc.gov/mads/rdf/v1#Title
http://www.loc.gov/mads/rdf/v1#NameTitle"
,/rdf:RDF/bf:Work/bf:subject/bf:Topic/madsrdf:componentList/bf:Hub/madsrdf:authoritativeLabel,"Barmer Theologische Erklärung
Ariosto, Lodovico, 1474-1533. Orlando furioso
Bible. N.T. Corinthians, 1st, VII"
,/rdf:RDF/bf:Work/bf:subject/bf:Topic/madsrdf:componentList/bf:Hub/madsrdf:isMemberOfMADSScheme,http://id.loc.gov/authorities/subjects
,/rdf:RDF/bf:Work/bf:subject/bf:Topic/madsrdf:componentList/bf:Hub/bf:title/bf:Title/bf:mainTitle,"Barmer Theologische Erklärung
Orlando furioso
Bible. N.T. Corinthians, 1st, VII"
,/rdf:RDF/bf:Work/bf:subject/bf:Topic/madsrdf:componentList/bf:Hub/bf:title/bf:Title/bf:partName,"N.T.
Corinthians, 1st, VII"
,/rdf:RDF/bf:Work/bf:subject/bf:Topic/madsrdf:componentList/bf:Hub/bf:title/bf:Title/bflc:nonSortNum,"1
2"
,/rdf:RDF/bf:Work/bf:subject/bf:Topic/madsrdf:componentList/bf:Hub/bf:title/bf:Title/bf:partNumber,"I, 15
Juan 10
CXIX"
,/rdf:RDF/bf:Work/bf:subject/bf:Topic/madsrdf:componentList/bf:Hub/bflc:marcKey,"63000$aBarmer Theologische Erklärung$vCongresses.
60010$aAriosto, Lodovico,$d1474-1533.$tOrlando furioso$xIllustrations.
63000$aBible.$pN.T.$pCorinthians, 1st, VII$xCriticism, interpretation, etc."
,/rdf:RDF/bf:Work/bf:subject/bf:Topic/madsrdf:componentList/bf:Hub/bf:contribution/bf:Contribution/bf:agent/bf:Agent/rdf:type,http://id.loc.gov/ontologies/bibframe/Person
